Entity,Flag,Code,Year,Time
Austria, 🇦🇹 ,AUT,2016,2.916666667
Belgium, 🇧🇪,BEL,2016,3.95
Czechia, 🇨🇿,CZE,2016,4.033333333
Estonia, 🇪🇪,EST,2016,5.283333333
Finland, 🇫🇮,FIN,2016,3.366666667
France, 🇫🇷,FRA,2016,4.05
Germany, 🇩🇪,DEU,2016,4.5
Hungary, 🇭🇺,HUN,2016,3.816666667
Iceland, 🇮🇸,ISL,2016,5.333333333
Ireland, 🇮🇪,IRL,2016,3.733333333
Israel, 🇮🇱,ISR,2016,4.416666667
Italy, 🇮🇹,ITA,2016,3.666666667
Lithuania, 🇱🇹,LTU,2016,3.966666667
Netherlands, 🇳🇱,NLD,2016,6.033333333
Norway, 🇳🇴,NOR,2016,4.916666667
Poland, 🇵🇱,POL,2016,3.466666667
Portugal, 🇵🇹,PRT,2016,5.666666667
Slovenia, 🇸🇮,SVN,2016,2.75
Spain, 🇪🇸,ESP,2016,5.25
Sweden, 🇸🇪,SWE,2016,5.516666667
Switzerland, 🇨🇭,CHE,2016,3.6
United Kingdom,🇬🇧,GBR,2016,5.15
